loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
0,0,0,1,0,0,0.000632057,1,0,1,1,948,948,948,948,0,0,n,framework/bundles/org.eclipse.ecf.filetransfer/src/org/eclipse/ecf/filetransfer/events/IOutgoingFileTransferSendDoneEvent.java
1,0,0,1,0,0,0.000396261,1,0,1,1,949,949,949,949,1,0,n,framework/bundles/org.eclipse.ecf.datashare/src/org/eclipse/ecf/datashare/events/IChannelDisconnectEvent.java
7,0,0,1,0,0,0.000595819,1,0,1,1,826,826,826,826,0,0,n,incubation/bundles/org.eclipse.ecf.bulletinboard/src/org/eclipse/ecf/bulletinboard/IMessageBase.java
3,0,0,1,0,0,0.000765464,1,0,1,1,948,948,948,948,1,1,n,framework/bundles/org.eclipse.ecf.provider/src/org/eclipse/ecf/provider/util/IdentifiableObjectOutputStream.java
58,0,0,1,0,0,0.000595819,1,0,1,1,826,826,826,826,0,0,n,incubation/bundles/org.eclipse.ecf.provider.phpbb/src/org/eclipse/ecf/internal/provider/phpbb/MemberGroup.java
271,136,78,16,1,1,0.004261602,2,1,1,0.9375,948,59,367,0,16,3,n,framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/core/sharedobject/BaseSharedObject.java
24,0,0,1,0,0,0.001184177,1,0,1,1,1145,1145,1145,1145,1,1,y,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/packet/Bind.java
5,2,2,2,0,0,0.000217908,1,0,1,1,385,192,379,5,0,1,n,framework/bundles/org.eclipse.ecf.storage/src/org/eclipse/ecf/storage/IIDEntry.java
0,12,5,3,0,0,0.000722273,1,0,1,1,952,317,930,4,1,1,n,framework/bundles/org.eclipse.ecf.identity/src/org/eclipse/ecf/core/util/ECFException.java
5,1,1,4,0,0,0.001833461,1,0,1,1,1323,330,541,137,4,1,n,providers/bundles/org.eclipse.ecf.provider.xmpp/src/org/eclipse/ecf/provider/xmpp/identity/XMPPSID.java
38,15,27,4,0,0,0.000997542,1,0,1,1,722,180,516,13,0,1,n,framework/bundles/org.eclipse.ecf.presence.collab.ui/src/org/eclipse/ecf/presence/collab/ui/url/URLShareRosterContributionItem.java
33,0,0,1,0,0,0.000234927,1,0,1,1,540,540,540,540,1,1,n,providers/bundles/org.eclipse.ecf.provider.filetransfer/src/org/eclipse/ecf/provider/filetransfer/util/JREProxyHelper.java
6,8,8,11,0,0,0.004196308,2,1,1,0.818181818,1478,134,416,0,10,8,n,framework/bundles/org.eclipse.ecf.discovery/src/org/eclipse/ecf/discovery/IServiceInfo.java
16,1,1,2,0,0,0.000358661,2,0,2,0.5,869,434,750,118,0,0,n,providers/bundles/org.eclipse.ecf.provider.irc.bot/src/org/eclipse/ecf/provider/irc/bot/IRCBotApplication.java
16,3,0,2,0,0,0.000392928,2,0,2,0.5,826,413,723,102,1,1,n,providers/bundles/org.eclipse.ecf.provider.msn/src/org/eclipse/ecf/internal/provider/msn/MSNContainerInstantiator.java
5,7,0,3,0,0,0.000365759,2,0,2,0.666666667,499,166,400,0,3,3,n,framework/bundles/org.eclipse.ecf.discovery/src/org/eclipse/ecf/discovery/IContainerServiceInfoAdapter.java
30,0,0,1,0,0,0.001184177,1,0,1,1,1145,1145,1145,1145,1,1,n,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/muc/DefaultParticipantStatusListener.java
790,403,218,3,0,0,0.000749837,2,0,2,0.666666667,417,139,223,57,3,1,y,protocols/bundles/ch.ethz.iks.r_osgi.remote/src/main/java/ch/ethz/iks/r_osgi/impl/ChannelEndpointImpl.java
3,0,0,1,0,0,0.000160753,1,0,1,1,528,528,528,528,0,0,n,providers/bundles/org.eclipse.ecf.provider.filetransfer.efs/src/org/eclipse/ecf/internal/provider/filetransfer/efs/SendFileTransferFactory.java
12,0,0,1,0,0,0.001184177,1,0,1,1,1145,1145,1145,1145,1,1,n,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/muc/UserStatusListener.java
1,0,0,1,0,0,0.000231275,1,0,1,1,425,425,425,425,1,1,n,protocols/bundles/org.eclipse.ecf.protocol.bittorrent/src/org/eclipse/ecf/protocol/bittorrent/IPieceProgressListener.java
9,3,4,4,0,0,0.002792254,1,0,1,1,1232,308,948,0,3,2,n,providers/bundles/org.eclipse.ecf.provider.datashare/src/org/eclipse/ecf/provider/datashare/DatashareContainerConfig.java
3,2,2,2,0,0,0.001231392,1,0,1,1,951,475,943,8,2,1,n,framework/bundles/org.eclipse.ecf.sharedobject/src/org/eclipse/ecf/core/sharedobject/ISharedObjectContainerGroupManager.java
24,4,9,2,0,0,0.000453042,2,0,2,0.5,688,344,635,52,1,0,n,framework/bundles/org.eclipse.ecf.presence.ui/src/org/eclipse/ecf/internal/presence/ui/handlers/BrowseHandler.java
9,0,0,1,0,0,0.001184177,1,0,1,1,1145,1145,1145,1145,1,1,n,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smackx/OfflineMessageHeader.java
14,8,0,2,0,0,0.000400602,1,0,1,1,459,229,353,105,0,0,n,framework/bundles/org.eclipse.ecf.filetransfer/src/org/eclipse/ecf/filetransfer/FileTransferJob.java
27,0,0,1,0,0,0.000342424,1,0,1,1,172,172,172,172,1,1,n,framework/bundles/org.eclipse.ecf.discovery.ui.model/src/org/eclipse/ecf/discovery/ui/model/impl/INetworkImpl.java
13,0,0,1,0,0,5.75E-05,1,0,1,1,181,181,181,181,1,0,n,protocols/bundles/ch.ethz.iks.slp/src/main/java/ch/ethz/iks/slp/impl/attr/AttributeListVisitor.java
0,1,2,2,0,0,0.008880577,1,0,1,1,1642,821,1529,113,1,1,n,framework/bundles/org.eclipse.ecf/src/org/eclipse/ecf/core/util/Event.java
96,0,0,1,0,0,0.001184177,1,0,1,1,1145,1145,1145,1145,1,1,n,protocols/bundles/org.jivesoftware.smack/src/org/jivesoftware/smack/GroupChat.java
217,1,5,2,0,0,0.000228446,1,0,1,1,104,52,104,0,2,1,n,providers/bundles/org.eclipse.ecf.provider.jmdns/jmdns/javax/jmdns/impl/DNSOutgoing.java
15,9,2,3,0,0,0.001597083,1,0,1,1,886,295,884,0,0,0,n,framework/bundles/org.eclipse.ecf.presence/src/org/eclipse/ecf/presence/im/TypingMessage.java
230,234,131,62,3,1,0.05105092,3,2,1,0.935483871,1642,26,421,0,62,10,y,framework/bundles/org.eclipse.ecf/src/org/eclipse/ecf/internal/core/ECFPlugin.java
8,0,0,1,0,0,0.001070153,1,0,1,1,1581,1581,1581,1581,0,0,n,examples/bundles/org.eclipse.ecf.sdo/src/org/eclipse/ecf/sdo/WaitablePublicationCallback.java
