loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
18,0,0,1,0,0,0,0.00256838213151131,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.phpbb/src/org/eclipse/ecf/internal/provider/phpbb/container"
152,580,12,17,2,1,1,0.00568774405202015,1,0,1,1,122,7,22,0,13,3,y,"compendium/bundles/org.eclipse.ecf.osgi.services.distribution/src/org/eclipse/ecf/osgi/services/distribution"
126,306,304,10,4,3,0,0.00692262085008779,2,0,2,0.6,488,48,299,0,2,0,n,"server-side/examples/bundles/org.eclipse.ecf.examples.updatesite.server/src/org/eclipse/ecf/internal/examples/updatesite"
244,299,215,13,0,0,0,0.132085712593462,2,0,2,0.538461538461538,1583,121,951,0,0,3,n,"examples/bundles/org.eclipse.ecf.sdo/src/org/eclipse/ecf/internal/sdo"
525,1552,463,37,4,3,0,0.0406128118515345,3,2,1,0.702702702702703,952,25,187,0,4,5,n,"framework/bundles/org.eclipse.ecf.identity/src/org/eclipse/ecf/core/util"
1,0,0,1,0,0,0,0.0012365798707884,1,0,1,1,869,869,869,869,0,0,n,"providers/bundles/org.eclipse.ecf.provider.irc.bot/src/org/eclipse/ecf/provider/irc/bot/handler"
1884,60,102,3,1,1,0,0.00145583596445825,1,0,1,1,425,141,316,0,0,0,n,"protocols/bundles/org.eclipse.ecf.protocol.bittorrent/src/org/eclipse/ecf/protocol/bittorrent/internal/net"
377,246,246,4,0,0,0,0.000409376803278714,1,0,1,1,183,45,161,0,0,0,n,"framework/bundles/org.eclipse.ecf.remoteservice/src/org/eclipse/ecf/remoteservice/util/tracker"
63,220,220,20,10,7,0,0.0125907880852111,2,1,1,0.9,495,24,84,0,4,0,n,"providers/bundles/org.eclipse.ecf.provider.jslp/src/org/eclipse/ecf/provider/jslp/identity"
467,4739,4078,274,10,6,2,0.70125082559585,6,5,1,0.956204379562044,1642,5,189,0,115,269,y,"framework/bundles/org.eclipse.ecf/src/org/eclipse/ecf/core"
502,1767,3,44,13,5,4,0.0167350998236087,2,0,2,0.795454545454545,129,2,19,0,19,0,y,"compendium/bundles/org.eclipse.ecf.osgi.services.discovery/src/org/eclipse/ecf/internal/osgi/services/discovery"
60,0,0,1,0,0,0,0.00256838213151131,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.bulletinboard.commons/src/org/eclipse/ecf/internal/bulletinboard/commons/util"
81,0,0,1,0,0,0,0.00256838213151131,1,0,1,1,826,826,826,826,0,0,n,"incubation/bundles/org.eclipse.ecf.provider.vbulletin/src/org/eclipse/ecf/internal/provider/vbulletin/identity"
