loc,add_loc,del_loc,com_num,fix_com_num,past_bug_ids,post_bug_ids,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,spatial,timing,faulty,file
3,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,1,n,"plugins/org.eclipse.xtend.check.ui/src/org/eclipse/xtend/check/ui/editor/lang"
84,91,61,5,0,0,0,0.00321215575234399,1,0,1,1,452,90,403,1,0,4,n,"plugins/org.eclipse.xtend.backend.uml2types/src/org/eclipse/xtend/backend/types/uml2"
749,584,166,9,0,0,2,0.0147923250249465,5,2,3,0.333333333333333,527,58,354,0,0,15,y,"plugins/org.eclipse.xtend/src/org/eclipse/internal/xtend/xtend/ast"
97,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,3,n,"plugins/org.eclipse.xtend.shared.ui/src/org/eclipse/xtend/shared/ui/core/action"
199,0,0,1,0,0,0,0.00290670454587246,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.parser/emf-gen/org/eclipse/xpand3/statement/util"
328,491,485,2,0,0,2,0.00919337627305607,2,0,2,0.5,527,263,442,85,2,8,y,"plugins/org.eclipse.xtend.shared.ui/src/org/eclipse/xtend/shared/ui/wizards"
66,82,49,8,0,0,0,0.0132037906109284,1,0,1,1,470,58,424,0,0,9,n,"plugins/org.eclipse.xtend.backend/src/org/eclipse/xtend/backend/internal"
16,0,0,1,0,0,0,0.00290670454587246,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.parser/emf-gen/org/eclipse/xpand3/validation"
161,0,0,1,0,0,0,0.00290670454587246,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.parser/emf-gen/org/eclipse/xpand3/internal/frontend/parser/xpand3node/validation"
66,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,3,n,"plugins/org.eclipse.m2t.common.recipe/src/org/eclipse/m2t/common/recipe/util"
447,1503,828,9,0,0,1,0.00464851620267082,2,1,1,0.888888888888889,207,23,69,0,0,0,y,"examples/org.eclipse.emf.generic.editor/src/org/eclipse/emf/editor"
310,467,431,10,2,2,1,0.0161945734633536,6,4,2,0.4,527,52,336,0,0,16,y,"plugins/org.eclipse.xtend/src/org/eclipse/internal/xtend/type/baseimpl"
411,0,0,1,0,0,0,0.00290670454587246,1,0,1,1,427,427,427,427,0,0,n,"plugins/org.eclipse.xpand3.parser/emf-gen/org/eclipse/xpand3/internal/frontend/parser/xpand3node"
21,87,161,4,1,1,0,0.00697551214021304,2,0,2,0.75,448,112,350,0,3,1,n,"plugins/org.eclipse.xtend.backend/src/org/eclipse/xtend/backend/aop/internal"
196,63,15,5,2,1,1,0.010851712773689,4,0,4,0.4,527,105,403,8,0,2,y,"plugins/org.eclipse.xtend.shared.ui/src/org/eclipse/xtend/shared/ui/expression/editor/codeassist"
922,2,2,4,0,0,0,0.0107709008790274,3,0,3,0.5,527,131,321,33,0,9,n,"plugins/org.eclipse.xtend/src/org/eclipse/internal/xtend/util/internal/icu"
183,1,1,2,0,0,0,0.00648164245733381,2,0,2,0.5,527,263,354,173,0,3,n,"plugins/org.eclipse.xtend.typesystem.uml2.ui/src/org/eclipse/xtend/typesystem/uml2/ui"
189,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,8,n,"plugins/org.eclipse.m2t.common.recipe/src/org/eclipse/m2t/common/recipe/core"
132,3,0,4,0,0,0,0.00963862030048461,3,0,3,0.5,527,131,290,56,0,11,n,"plugins/org.eclipse.xtend/src/org/eclipse/xtend/typesystem"
180,15,27,3,0,0,1,0.0115638860083,2,0,2,0.666666666666667,527,175,399,42,0,8,y,"plugins/org.eclipse.xpand/src/org/eclipse/internal/xpand2/type"
173,69,0,2,0,0,1,0.00794724922411459,2,0,2,0.5,527,263,509,18,0,2,y,"plugins/org.eclipse.xtend/src/org/eclipse/internal/xtend/xtend/codeassist"
17,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,1,n,"plugins/org.eclipse.xtend.check.ui/src/org/eclipse/xtend/check/ui/core/internal/builder"
274,510,98,19,8,1,0,0.035311363331147,2,1,1,0.894736842105263,493,25,309,0,2,10,n,"plugins/org.eclipse.xtend.backend/src/org/eclipse/xtend/backend/common"
21,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,1,n,"plugins/org.eclipse.m2t.common.recipe.ui/src/org/eclipse/m2t/common/recipe/ui/action"
99,6,3,3,0,0,1,0.00251521745002649,2,0,2,0.666666666666667,203,67,116,30,0,0,y,"examples/org.eclipse.emf.generic.editor/src/org/eclipse/emf/editor/extxpt"
12,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,2,n,"plugins/org.eclipse.m2t.common.recipe.simpleChecks/src/org/eclipse/m2t/common/recipe/simpleChecks/java"
223,194,211,3,0,0,1,0.0100117955381077,3,0,3,0.333333333333333,527,175,278,85,0,3,y,"plugins/org.eclipse.xtend.shared.ui/src/org/eclipse/xtend/shared/ui/core/properties"
55,0,0,1,0,0,0,0.00634130462727562,1,0,1,1,527,527,527,527,0,2,n,"plugins/org.eclipse.m2t.common.recipe/src/org/eclipse/m2t/common/recipe/io"
